date,day_index,soc_trajectory,gpt_reported_cost,computed_cost_actual,computed_cost_forecast,milp_actual_cost,feasible,violations,api_cost_usd
2019-01-20,18,"[0.5, 0.2632, 0.0, 0.0, 0.0, 0.077, 0.3145, 0.552, 0.7895, 0.7895, 0.5263, 0.2632, 0.0, 0.0, 0.0, 0.077, 0.3145, 0.552, 0.7895, 0.7895, 0.5263, 0.2632, 0.0, 0.0, 0.0]",38841.52,43424.64583557306,38841.500056605735,42899.00853202216,False,t=1: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=11: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36; t=21: discharge=12.3620 kW > dmax=12.36,0.01876
2019-01-21,19,"[0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.739, 0.478, 0.217, 0.0, 0.0, 0.0, 0.0, 0.0]",58900.0,62449.10179708631,59602.56378087707,62295.79620941827,True,,0.0141425
2019-01-22,20,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7382, 0.4764, 0.2146, 0.0, 0.0, 0.0, 0.0, 0.0]",45000.0,63846.64603096421,46702.81159562581,63757.88364268421,True,,0.0135075
2019-01-23,21,"[0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",49396.87,69960.32908842106,49781.66080337895,69808.40440826314,False,t=1: charge=13.0105 kW > cmax=12.36; t=2: charge=13.0105 kW > cmax=12.36,0.017755
2019-01-24,22,"[0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",62000.0,75743.42344526315,66063.88129198474,75119.20173026316,False,t=0: charge=13.0105 kW > cmax=12.36; t=1: charge=13.0105 kW > cmax=12.36,0.01402
2019-01-25,23,"[0.5, 0.7368, 0.9736, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0, 0.0]",62000.0,62498.94812631747,65200.29085822072,61697.41735110527,False,t=16: discharge=12.3620 kW > dmax=12.36; t=17: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36,0.0141075
2019-01-26,24,"[0.5, 0.5, 0.5, 0.5, 0.7368, 0.9737, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.4737, 0.4737, 0.4737, 0.7105, 0.9474, 0.9474, 0.9474, 0.9474, 0.6842, 0.4211, 0.1579, 0.1579, 0.1579, 0.0]",36500.0,45574.33361390652,37061.088667620425,45392.90149507479,False,t=8: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.0140625
2019-01-27,25,"[0.5, 0.5, 0.7368, 0.9736, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0, 0.0]",-0.62,41118.94325478399,36138.78209572295,41033.89670105262,False,t=17: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36,0.016395
2019-01-28,26,"[0.5, 0.7368, 0.9736, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.4737, 0.4737, 0.4737, 0.4737, 0.4737, 0.4737, 0.4737, 0.2368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43250.0,52896.48149578737,46212.558506004105,52490.79774079778,False,t=8: discharge=12.3620 kW > dmax=12.36,0.0136375
2019-01-29,27,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45200.0,63105.47898496506,46259.70883739496,62360.11021110526,False,t=10: discharge=12.3620 kW > dmax=12.36; t=11: discharge=12.3620 kW > dmax=12.36; t=12: discharge=12.3620 kW > dmax=12.36,0.0170525
2019-01-30,28,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.7125, 0.45, 0.1875, 0.0, 0.0, 0.0, 0.0]",47250.0,64488.760257,48036.53885148,63980.48575042106,True,,0.0142675
2019-01-31,29,"[0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0]",50724.66,57125.19832216757,51594.88488608346,56937.65594886427,False,t=17: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36,0.0167825
2019-02-01,30,"[0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0, 0.237, 0.474, 0.711, 0.948, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0, 0.0]",45678.23,43132.5606807158,47054.809893844285,42687.741936000006,True,,0.013645
2019-02-02,31,"[0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",51234.56,41420.97177426316,53973.35349084737,40506.23844,True,,0.01654
2019-02-03,32,"[0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.739, 0.478, 0.217, 0.0, 0.0, 0.0, 0.0, 0.0]",37200.0,35987.567289414736,39498.69154711894,35080.483619000006,True,,0.0142975
2019-02-04,33,"[0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 0.763, 0.526, 0.289, 0.052, 0.0, 0.0, 0.237, 0.474, 0.711, 0.948, 0.711, 0.474, 0.237, 0.0, 0.0, 0.0, 0.0, 0.0]",36200.0,45412.82124757053,36948.00620902216,45005.072609,True,,0.014275
2019-02-05,34,"[0.5, 0.5, 0.5, 0.5, 0.2375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0]",28750.0,45804.71848336842,29507.315562478423,44713.14493699999,True,,0.0140375
2019-02-06,35,"[0.5, 0.2368, 0.2368, 0.475, 0.7132, 0.9514, 0.9514, 0.9514, 0.9514, 0.6882, 0.6882, 0.6882, 0.6882, 0.9264, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0]",28750.0,17849.231904837055,29842.86289698585,16961.503211578947,False,t=0: discharge=12.3620 kW > dmax=12.36; t=2: charge=12.3964 kW > cmax=12.36; t=3: charge=12.3964 kW > cmax=12.36; t=4: charge=12.3964 kW > cmax=12.36; t=8: discharge=12.3620 kW > dmax=12.36,0.0207075
2019-02-07,36,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7382, 0.4764, 0.4764, 0.4764, 0.7139, 0.7139, 0.7139, 0.7139, 0.7139, 0.7139, 0.4521, 0.1903, 0.0, 0.0, 0.0, 0.0]",53886.46,61534.25862123368,54376.497079352106,61207.031164,True,,0.01731
2019-02-08,37,"[0.5, 0.7375, 0.7375, 0.7375, 0.9749, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.4749, 0.2123, 0.0, 0.0, 0.0, 0.0, 0.0]",68450.0,41731.75130512464,68820.82398278317,41480.04878884211,True,,0.01653
2019-02-09,38,"[0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.475, 0.475, 0.7125, 0.7125, 0.7125, 0.7125, 0.7125, 0.45, 0.1875, 0.0, 0.0, 0.0, 0.0]",60500.0,51809.364634631565,61163.66650851632,51573.58511199999,True,,0.0151975
2019-02-10,39,"[0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0, 0.0]",56000.0,50124.63990865264,58147.27088432924,49773.77357021053,True,,0.0143325
2019-02-11,40,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7368, 0.9736, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0]",45000.0,27103.18304324168,45782.58566308465,26762.9222133518,False,t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.0161225
2019-02-12,41,"[0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 0.7125]",43200.0,46890.825853,46985.049267780014,43307.01983745153,True,,0.0153875
2019-02-13,42,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7382, 0.7382, 0.7382, 0.7382, 0.9757, 1.0, 1.0, 1.0, 1.0, 0.7382, 0.4764, 0.2146, 0.0, 0.0, 0.0, 0.0]",45747.35,47095.45032474864,46220.99460643406,46748.388893,True,,0.01762
2019-02-14,43,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.2875, 0.525, 0.7625, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0]",48509.59,49264.07330069599,48509.58703941303,48927.849474736846,False,t=8: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.01802
2019-02-15,44,"[0.5, 0.7375, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 0.95, 0.6868, 0.4237, 0.1605, 0.0, 0.0, 0.0]",52900.0,46677.25621958316,53162.643277520976,46076.2565031579,False,t=8: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.015095
2019-02-16,45,"[0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0]",45543.76,38129.81650138821,45644.39591824217,37655.54008631579,False,t=8: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.0198525
2019-02-17,46,"[0.5, 0.5, 0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0]",32000.0,35735.504980000005,34622.56785097895,35288.66037273684,False,t=3: charge=13.0105 kW > cmax=12.36; t=4: charge=13.0105 kW > cmax=12.36,0.01477
2019-02-18,47,"[0.5, 0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0, 0.0, 0.0]",44896.26,52593.96367864842,45803.84520986373,52091.84056592798,True,,0.0158175
2019-02-19,48,"[0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.448, 0.685, 0.922, 0.659, 0.396, 0.133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43250.0,50241.54713730106,46042.49938314858,49416.155217396124,True,,0.0152425
2019-02-20,49,"[0.5, 0.5, 0.7475, 0.995, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7475, 0.495, 0.2425, 0.05, 0.2975, 0.545, 0.7925, 1.0, 1.0, 0.7475, 0.495, 0.2425, 0.0, 0.0, 0.0, 0.0]",43250.0,50691.84754446316,44790.55474964652,50482.378929473685,False,t=1: charge=12.8804 kW > cmax=12.36; t=2: charge=12.8804 kW > cmax=12.36; t=12: charge=12.8804 kW > cmax=12.36; t=13: charge=12.8804 kW > cmax=12.36; t=14: charge=12.8804 kW > cmax=12.36,0.0137825
2019-02-21,50,"[0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0, 0.0]",34500.0,53195.36233147368,35966.999852658424,52539.80416210527,True,,0.0153125
2019-02-22,51,"[0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.237, 0.474, 0.711, 0.948, 0.685, 0.422, 0.159, 0.0, 0.0, 0.0, 0.0]",38500.0,48671.75109881685,39782.41975689486,48467.52943263159,True,,0.013555
2019-02-23,52,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0, 0.0]",30500.0,37230.944412842095,32457.428610516312,36196.53868,True,,0.0150425
2019-02-24,53,"[0.5, 0.5, 0.7368, 0.9743, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2875, 0.2875, 0.525, 0.7625, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0]",31250.0,29221.450433529262,32859.67125659203,28722.764538736843,False,t=9: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36; t=21: discharge=12.3620 kW > dmax=12.36,0.01208
2019-02-25,54,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",37884.72,48480.72151157896,39188.184998919474,47606.159219013854,False,t=5: charge=26.0211 kW > cmax=12.36; t=17: discharge=46.9680 kW > dmax=12.36,0.0144275
2019-02-26,55,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44250.0,48693.19492052632,46238.97409981368,47552.35049473684,True,,0.0133125
2019-02-27,56,"[0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 0.8395, 0.5763, 0.3132, 0.05, 0.2875, 0.525, 0.7625, 1.0, 1.0, 1.0, 0.7895, 0.5263, 0.2632, 0.0, 0.0, 0.0, 0.0]",38973.45,46345.57507000337,39239.66056429123,46207.30064183657,False,t=8: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.01424
2019-02-28,57,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0, 0.0, 0.0]",37984.39,50669.32890262568,38882.48605221901,49861.91450421053,False,t=16: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36,0.0200475
2019-03-01,58,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0]",43200.0,46072.66639620421,43957.771277287735,45683.00251021052,False,t=7: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.01257
2019-03-02,59,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7125, 0.925, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2211, 0.0, 0.0, 0.0, 0.0, 0.0]",43729.29,35092.25201108884,43984.861951404215,35036.08393461496,False,t=18: discharge=36.5834 kW > dmax=12.36,0.015565
2019-03-03,60,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0]",39800.0,32023.184289842105,40811.379379391576,31906.014775,True,,0.01454
2019-03-04,61,"[0.5, 0.5, 0.5, 0.7375, 0.975, 0.99875, 0.99875, 0.99875, 0.99875, 0.73555, 0.47235, 0.20915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41250.0,48403.840515692005,42758.00097453589,48083.73524548477,False,t=8: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36,0.01623
2019-03-05,62,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.4736, 0.4736, 0.4736, 0.4736, 0.4736, 0.4736, 0.4736, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0, 0.0]",34250.0,46946.60122077978,36620.5043811889,46504.698294,False,t=8: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36,0.01391
